id	миротряд	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	origin_confedence	debug
54	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			 Notharctidae	 Caenopithecinae		Швейцария	europe	47.8	37			
55	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Caenopithecinae		Египет	africa	47.8	37			
56	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Cercamoniinae 		Северная Аерика	s_america	53.5	33.9			
57	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Европа	europe	53.5	33.9			
58	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Египет	africa	53.5	33.9			
59	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Оман	asia	53.5	33.9			
60	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Пакистан	asia	53.5	33.9			
61	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Китай	asia	53.5	33.9			
62	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Notharctinae		Северная Африка	n_america	55.2	39.1			
63	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Notharctinae		Европа	europe	55.2	39.1			
64	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или по дсем. Sivaladapinae сем. Adapidae) 			Пакистан	asia	37.7	7.8			
65	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или подсем. Sivaladapinae сем. Adapidae) 			Индия	asia	37.7	7.8			
66	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или по дсем. Sivaladapinae сем. Adapidae) 			Таиланд	asia	37.7	7.8			
67	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или по дсем. Sivaladapinae сем. Adapidae) 			Бирма	asia	37.7	7.8			
72	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	 Lemuridae	 Lemurinae		Мадагаскар	africa	0	0			
73	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	 Lemuridae	 Hapalemurinae		Мадагаскар	africa	0	0			
74	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	  Indriidae (= надсем.  Indrioidea)	  Archaeolemurinae (= сем.  Archaeolemuridae		Мадагаскар	africa	0	0			
76	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	Indriidae (= надсем.  Indrioidea)	Indriinae		Мадааскар	africa	0	0			
77	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	  Indriidae (= надсем.  Indrioidea)	 Archaeolemurinae		Мадагаскар	africa	0	0			
78	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	Indriidae (= надсем.  Indrioidea)	  Palaeopropithecinae (= сем.  Palaeopropithecidae)		Мадагаскар	africa	0	0			
79	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Azibiidae			Северная Африка	africa	51.8	34.8			
80	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae 	  Adapinae 		Европа	europe	45.1	35.9			
81	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae	Adapinae		Китай	asia	45.1	35.9			
82	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae 	Djebelemurinae		Северная Африка	africa	50.4	49.8			
83	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae 	Djebelemurinae		Северная Африка	africa	33.8	35			
85	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES		CHEIROGALEOIDEA	Cheirogaleidae	Cheirogaleinae		Мадагаскар	africa	0	0			
86	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae		Африка	africa	0	0			
87	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Cheirogaleidae	Cheirogaleinae	Bugtilemur mathesoni	Пакистан	asia	32.3	30.1			
88	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	incertae sedis		 Chasselasia eldredgei	Швейцария	europe	46.5	43.4			
89	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Saharagalago misrensis	Египет	africa	41.2	35.2			
90	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	11.2	10			
91	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	5.2	3.2			
92	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	2.2	1.2			
93	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Kombinae		Кения	africa	20.1	15			
94	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Kombinae		Уганда	africa	20.1	15			
95	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis	Progaiago dorae	Кения	africa	19.9	18.9			
96	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis	Progaiago dorae	Уганда	africa	19.9	18.9			
97	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Эфиопия	africa	15.7	14.8			
98	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Кения	africa	10	9.1			
99	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Уганда	africa	6.5	5.7			
100	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Танзания	africa	4.5	3.5			
101	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Намибия	africa	2.1	1.2			
102	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Perodicticinae	Karanisia	Египет	africa	41.7	35			
103	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Perodicticinae	Karanisia	Ливия	africa	41.7	35			
104	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae	Nycticebus linglom	Таиланд	asia	18.5	17.9			
105	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae	Nycticeboides simpsoni	Пакистан	asia	16.1	14.9			
106	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae	Microloris pilbeami	Пакистан	asia	10	9.1			
107	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Perodicticinae		Африка	asia	0	0			
108	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Индостан	asia	0	0			
109	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Китай	asia	0	0			
110	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Юго-Восточная Азия	asia	0	0			
111	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Индонейзия	asia	0	0			
112	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		PLESIOPITHECOIDEA	Plesiopithecidae			Египет	africa	37.4	35.6			
113	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		CHIROMYIFORMES			incertae sedis		Nosmips aenigmaticus	Египет	africa	36.4	35.7			
114	PRIMATOMORPHA	PRIMATES	HAPLORRHINI		CHIROMYIFORMES			Daubentoniidae (=Chiromyidae)			Мадагаскар	africa	0	0			
115	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Microchoeridae (=Necrolemuridae)			Европа	europe	55.6	31.5			
116	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Microchoeridae (=Necrolemuridae)			Китай	asia	55.6	31.5			
117	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Microchoeridae (=Necrolemuridae)			Пакистан	asia	55.6	31.5			
118	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Decoredontinae		Китай	asia	61.5	58.6			
119	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Anaptomorphinae (=Tetoniidae)		Северная Америка	n_america	55.7	41.8			
120	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Anaptomorphinae (=Tetoniidae)		Египет	africa	55.7	41.8			
121	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Anaptomorphinae (=Tetoniidae)		Европа	europe	55.7	41.8			
122	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Anaptomorphinae (=Tetoniidae)		Монголия	asia	55.7	41.8			
123	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Anaptomorphinae (=Tetoniidae)		Китай	asia	55.7	41.8			
124	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Omomyinae (=Macrotarsiinae		Северная Америка	n_america	53	33.8			
125	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Omomyinae (=Macrotarsiinae		Китай	asia	53	33.8			
126	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	incertae sedis		Индия	asia	55.7	52.9			
127	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	incertae sedis		Пакистан	asia	55.7	52.9			
128	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	incertae sedis		Китай	asia	55.7	52.9			
129	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Tarkadectinae		США	n_america	46	42			
130	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Tarkadectinae		Китай	asia	46	42			
131	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)?			Archicebidae			Китай	asia	55.8	54.9			
132	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae		Xanthorhysis tabrumi	Китай	asia	45.5	44.5			
133	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae		Tarsius eocaenus	Китай	asia	34.3	33.3			
134	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae		Tarsius thailandica	Тайланд	asia	37	36			
135	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae		Hesperotarsius sindhensis	Пакистан	asia	38.3	36.1			
136	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae			Тайланд	asia	33.9	32.7			
137	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae			Китай	asia	0	0			
138	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae			Пакистан	asia	0	0			
139	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae			Тайланд	asia	0	0			
140	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae			Филиппины	asia	0	0			
141	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	TARSIIFORMES			Tarsiidae			Индонейзия	asia	0	0			
142	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	EOSIMIIFORMES			Afrotarsiidae			Ливия	africa	39.2	29.2			
143	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	EOSIMIIFORMES			Afrotarsiidae			Бирма	asia	39.2	29.2			
144	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	EOSIMIIFORMES			Afrotarsiidae			Еипет	africa	39.2	29.2			
145	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	EOSIMIIFORMES			 Eosimiidae			Китай	asia	55.2	53.5			
146	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	EOSIMIIFORMES			 Eosimiidae			Бирма	asia	45.8	44.8			
147	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	EOSIMIIFORMES			 Eosimiidae			Индия	asia	37.8	37			
148	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	EOSIMIIFORMES			 Eosimiidae			Пакистан	asia	31.5	29.2			
149	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	 INCERTAE SEDIS		 PARAPITHECOIDEA	 Parapithecidae	Parapithecinae		Египет	africa	39	28.3			
150	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	 INCERTAE SEDIS		 PARAPITHECOIDEA	 Parapithecidae	Parapithecinae		Ливия	africa	39	28.3			
151	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	ANTHROPOIDEA	 INCERTAE SEDIS		 PARAPITHECOIDEA	 Parapithecidae	Parapithecinae		Кения	africa	39	28.3			
152		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	 INCERTAE SEDIS		 PARAPITHECOIDEA	 Parapithecidae	 incertae sedi	Arsinoea kallimos 	Египет	africa	34.6	34.1			
153		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	 INCERTAE SEDIS		 INCERTAE SEDIS	Amphipithecidae			Бирма	asia	38.2	30.8			
154		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	 INCERTAE SEDIS		INCERTAE SEDIS	Amphipithecidae			Таиланд	asia	38.2	30.8			
155		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	 INCERTAE SEDIS		INCERTAE SEDIS	Amphipithecidae			Пакистан	asia	38.2	30.8			
156		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI     Callithrichidae (=Callimiconidae =Hapalidae)	Callithrichinae	Lagonimico conclucatus	Колумбия	s_america	13.9	12.5
157		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI     Callithrichidae (=Callimiconidae =Hapalidae)	Callithrichinae	Lagonimico conclucatus	Колумбия	s_america	13.9	12.5
158		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI     Callithrichidae (=Callimiconidae =Hapalidae)	Callithrichinae	Lagonimico conclucatus	Колумбия	s_america	13.9	12.5
159		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI     Callithrichidae (=Callimiconidae =Hapalidae)	Callithrichinae		Южная Америка	s_america	0	0
160		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Callithrichidae (=Callimiconidae =Hapalidae)	 Callimiconinae		Верхняя Амазония	s_america	0	0			
161		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Callithrichidae (=Callimiconidae =Hapalidae)	Callithrichinae	Stirtonia tatacoensis	Колумбия	s_america	12.2	13.9			
162		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Callithrichidae (=Callimiconidae =Hapalidae)	Callithrichinae	Micodon kiotensis	Колумбия	s_america	12.2	13.9			
163		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae	Patasola magdalena	Колумбия	s_america	12.2	13.9			
164		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae	Stirtonia victoriae	Колумбия	s_america	13.9	13.2			
165		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae	Stirtonia tatacoensis	Колумбия	s_america	11.8	6.7			
166		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae		Центральная Америка	s_america	0	0			
167		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae		Южная Америка	s_america	0	0			
168		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae)	Tremacebus harringtoni	Аргентина	s_america	21	17.5			
169		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae)	Aotus dindensis	Колумбия	s_america	13.8	13.3			
170		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae)		Южная Америка	s_america	0	0			
171		PRIMATES	HAPLORRHINI	 ANTHROPOIDEA	PLATYRRHINI			Cebidae	Aotinae (=Nyctipithecinae)		Гаити	oceania	0	0			
172		PRIMATES	HAPLORRHINI	TARSIIFORMES	INCERTAE SEDIS		INCERTAE SEDIS	incertae sedis	Perupithecus ucayaliensis		Перу	s_america	40.6	39.8			
173		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Callicebinae		Боливия	s_america	27.1	25.8			
174		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Callicebinae	Paralouatta marianae	Куба		19.5	18.7			
175		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Callicebinae	Miocallicebus villaviejai	Колумбия	s_america	13.8	13.2			
176		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Atelinae	Solimoea acrensis	Бразилия		8	6			
