id	миротряд	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	origin_confedence	debug
68	PRIMATOMORPHA				ADAPIFORMES			Adapidae	Sivaladapinae		Пакистан	asia	37.7	7.8			
69	PRIMATOMORPHA				ADAPIFORMES			Adapidae	Sivaladapinae		Индия	asia	37.7	7.8			
70	PRIMATOMORPHA				ADAPIFORMES			Adapidae	Sivaladapinae		Таиланд	asia	37.7	7.8			
71	PRIMATOMORPHA				ADAPIFORMES			Adapidae	Sivaladapinae		Бирма	asia	37.7	7.8			
72	PRIMATOMORPHA				 LEMURIFORMES		 LEMUROIDEA	 Lemuridae	 Lemurinae		Мадагаскар	africa	0	0			
73	PRIMATOMORPHA				LEMURIFORMES		 LEMUROIDEA	 Lemuridae	 Hapalemurinae		Мадагаскар	africa	0	0			
74	PRIMATOMORPHA				LEMURIFORMES		 LEMUROIDEA	 Lepilemuridae 			Мадагаскар	africa	0	0			
75	PRIMATOMORPHA				LEMURIFORMES			Megaladapidae			Мадагаскар	africa	0	0			
76	PRIMATOMORPHA				LEMURIFORMES		 Indrioidea	Archaeolemuridae	Indriinae		Мадааскар	africa	0	0			
77	PRIMATOMORPHA				LEMURIFORMES		 Indrioidea	Indriidae	 Archaeolemurinae		Мадагаскар	africa	0	0			
																
