"надотряд\b"	"отряд\b"	"подотряд\b"	"гипотряд\b"	"инфраотряд\b"	"парвотряд\b"	"надсем\b\."	"сем\b\."	"подсем\b\."	"род"	"period_start"	"period_end"	"debug"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Tupaia sivalicus"	"23.03"	"5.333"	"debug489"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"*"	""	""	"debug494"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Urogale Mearns,"	""	""	"debug497"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Urogale everetti"	""	""	"debug502"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"*"	""	""	"debug511"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Tupaiinae"	"Prodendrogale yunnanica"	"23.03"	"5.333"	"debug514"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Ptilocercinae"	"Ptilocercus Gray,"	""	""	"debug522"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Ptilocercinae"	"Ptilocercus lowii"	""	""	"debug528"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Ptilocercinae"	"Ptilocercus lowii"	""	""	"debug534"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Ptilocercinae"	"Ptilocercus lowii"	""	""	"debug537"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Ptilocercinae"	"***"	""	""	"debug540"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Tupaiidae"	"Ptilocercinae"	"Eodendrogale parvum"	"56.0"	"33.9"	"debug543"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Incertae"	""	"Gen. et"	"56.0"	"33.9"	"debug550"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Incertae"	""	"Gen. et"	"56.0"	"33.9"	"debug557"
"ARCHONTA"	"SCANDENTIA"	""	""	""	""	""	"Incertae"	""	"Gen. et"	"23.03"	"5.333"	"debug564"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Cynocephalus Boddaert,"	""	""	"debug597"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Cynocephalus volans"	""	""	"debug609"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"*"	""	""	"debug614"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Galeopterus Thomas,"	""	""	"debug617"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Galeopterus variegatus"	""	""	"debug623"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"***"	""	""	"debug629"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Dermotherium Ducrocq,"	"56.0"	"33.9"	"debug632"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Dermotherium chimaera"	"33.9"	"23.03"	"debug635"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Dermotherium major"	"56.0"	"33.9"	"debug643"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Cynocephalidae"	""	"Dermotherium sp."	"56.0"	"33.9"	"debug646"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Mixodectidae"	""	"Mixodectes Cope,"	"66.0"	"56.0"	"debug656"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Mixodectidae"	""	"Mixodectes malaris"	"66.0"	"56.0"	"debug665"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Mixodectidae"	""	"Mixodectes pungens"	"66.0"	"56.0"	"debug670"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Mixodectidae"	""	"*"	""	""	"debug678"
